epoch,train_loss,val_auc,val_acc
1,0.035670437328517435,0.9999999650483052,0.9999595321921412
2,0.0018408547407016158,0.9999999982524153,0.9999797660960705
3,0.0007910117043647915,1.0,0.9999595321921412
4,0.00045487627817783504,1.0,0.9999595321921412
5,0.00033494987728772686,1.0,1.0
6,0.0001450928000267595,1.0,1.0
